Flow,Packet Count,Byte Count,Protocol,Alerts Count
"('13.69.116.104', 443, '192.168.1.75', 61416, 'HTTPS')",11,5728,HTTPS,8
"('192.168.1.75', 61416, '13.69.116.104', 443, 'HTTPS')",10,4050,HTTPS,26
"('159.124.43.60', 8801, '192.168.1.75', 56234, 'UDP')",78,10132,UDP,148
"('192.168.1.75', 61406, '51.144.23.62', 443, 'HTTPS')",604,431714,HTTPS,2473
"('192.168.1.75', 56234, '159.124.43.60', 8801, 'UDP')",75,9950,UDP,380
"('192.168.1.75', 61411, '192.168.1.13', 8009, 'TCP')",1,164,TCP,2
"('51.144.23.62', 443, '192.168.1.75', 61406, 'HTTPS')",308,18664,HTTPS,300
"('104.208.16.88', 443, '192.168.1.75', 61371, 'HTTPS')",3,272,HTTPS,1
"('192.168.1.75', 60720, '159.124.43.60', 443, 'HTTPS')",24,7110,HTTPS,77
"('159.124.43.60', 443, '192.168.1.75', 60720, 'HTTPS')",21,1816,HTTPS,33
"('159.124.43.60', 8801, '192.168.1.75', 56233, 'UDP')",5,678,UDP,10
"('192.168.1.75', 56233, '159.124.43.60', 8801, 'UDP')",4,548,UDP,20
"('192.168.1.75', 60728, '159.124.43.60', 443, 'HTTPS')",6,534,HTTPS,22
"('159.124.43.60', 443, '192.168.1.75', 60728, 'HTTPS')",8,630,HTTPS,12
"('192.168.1.75', 56237, '159.124.43.60', 8801, 'UDP')",4,548,UDP,22
"('159.124.43.60', 8801, '192.168.1.75', 56237, 'UDP')",4,512,UDP,8
"('192.168.1.134', 49154, '255.255.255.255', 6667, 'UDP')",1,230,UDP,3
"('192.168.1.75', 61375, '140.82.114.21', 443, 'HTTPS')",6,69281,HTTPS,21
"('140.82.114.21', 443, '192.168.1.75', 61375, 'HTTPS')",32,2502,HTTPS,27
"('192.168.1.75', 61371, '104.208.16.88', 443, 'HTTPS')",3,2606,HTTPS,14
